featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Populated place,Adigrat,Ethiopia,Ethiopia,14.2804319447,39.4699832751,104021,104021
Populated place,Aksum,Ethiopia,Ethiopia,14.1304152618,38.7200032133,47487,41249
Populated place,Yirga Alem,Ethiopia,Ethiopia,6.75042645154,38.4099962959,36292,36292
Populated place,Hosaina,Ethiopia,Ethiopia,7.55037762342,37.8500304756,89300,89300
Populated place,Dila,Ethiopia,Ethiopia,6.41042136528,38.3100023995,47021,47021
Populated place,Giyon,Ethiopia,Ethiopia,8.53042116183,37.9700231514,114534,38394
Populated place,Hagere Hiywet,Ethiopia,Ethiopia,8.98039369602,37.8500304756,43920,34905
Admin-1 capital,Nekemte,Ethiopia,Ethiopia,9.0904644968,36.5300076892,73018,73018
Admin-1 capital,Asela,Ethiopia,Ethiopia,7.95040488579,39.1399259021,82240,82240
Populated place,Shashemene,Ethiopia,Ethiopia,7.20039898572,38.590036986,114350,85871
Populated place,Dembi Dolo,Ethiopia,Ethiopia,8.5337284535,34.7999840889,27780,26748
Populated place,Gimbi,Ethiopia,Ethiopia,9.16702313124,35.833306029,31809,13038
Populated place,Asosa,Ethiopia,Ethiopia,10.0669940378,34.5333336983,30512,17872
Populated place,Jijiga,Ethiopia,Ethiopia,9.35042278944,42.7899873441,56821,48194
Admin-1 capital,Owando,Congo (Brazzaville),Congo (Brazzaville),-0.47962319042,15.9199995511,34070,23952
Populated place,Makoua,Congo (Brazzaville),Congo (Brazzaville),-0.00957436229,15.6400166409,11355,9315
Admin-1 capital,Sibiti,Congo (Brazzaville),Congo (Brazzaville),-3.68960813509,13.3500272203,22811,19089
Populated place,Mossendjo,Congo (Brazzaville),Congo (Brazzaville),-2.93962807324,12.7199881578,30936,18231
Admin-1 capital,Loubomo,Congo (Brazzaville),Congo (Brazzaville),-4.17960406608,12.6700170478,103894,91965
Populated place,Gamboma,Congo (Brazzaville),Congo (Brazzaville),-1.87948606477,15.8500296617,20877,20877
Admin-1 capital,Djambala,Congo (Brazzaville),Congo (Brazzaville),-2.53960081087,14.7499934475,9651,9650
Populated place,Ferkessedougou,Ivory Coast,Ivory Coast,9.60040753065,-5.20002913555,62008,52812
Admin-1 capital,Kerouane,Guinea,Guinea,9.27037599582,-9.01997684878,15406,7228
Admin-1 capital,Siguiri,Guinea,Guinea,11.4170925079,-9.16663456363,50159,43601
Admin-1 capital,Mamou,Guinea,Guinea,10.3803857615,-12.1000214045,71153,41619
Populated place,Kamsar,Guinea,Guinea,10.6854059031,-14.6050106216,34973,34973
Admin-1 capital,Fria,Guinea,Guinea,10.3803857615,-13.5499845799,23729,23729
Admin-1 capital,Odienne,Ivory Coast,Ivory Coast,9.51041302382,-7.58001306297,49857,19119
Admin-1 capital,Macenta,Guinea,Guinea,8.5503682647,-9.48000044904,43102,41233
Admin-1 capital,Yomou,Guinea,Guinea,7.57042807915,-9.26998742821,3614,1601
Admin-1 capital,Faranah,Guinea,Guinea,10.0404065134,-10.750000449,19469,9350
Admin-1 capital,Kissidougou,Guinea,Guinea,9.19045839328,-10.120013063,66815,47099
Admin-1 capital,Man,Ivory Coast,Ivory Coast,7.40041261691,-7.54998905581,146974,139341
Admin-1 capital,Seguela,Ivory Coast,Ivory Coast,7.95040488579,-6.67001692852,51157,12603
Admin-1 capital,Gagnoa,Ivory Coast,Ivory Coast,6.1504113962,-5.87998763165,123184,99192
Admin-1 capital,Soubre,Ivory Coast,Ivory Coast,5.79040753064,-6.61002059063,108933,58492
Admin-1 capital,San-Pedro,Ivory Coast,Ivory Coast,4.77041811006,-6.63996708315,210273,196751
Populated place,Sassandra,Ivory Coast,Ivory Coast,4.95038128552,-6.08328271628,38411,23274
Admin-1 capital,Bondoukou,Ivory Coast,Ivory Coast,8.03042584119,-2.80002059062,58297,18706
Admin-1 capital,Agboville,Ivory Coast,Ivory Coast,5.94034669893,-4.28003361146,81770,64285
Admin-1 capital,Dimbokro,Ivory Coast,Ivory Coast,6.65045839327,-4.71000736634,67349,25586
Populated place,Grand Bassam,Ivory Coast,Ivory Coast,5.20039186495,-3.74998844544,73772,48681
Populated place,Dabou,Ivory Coast,Ivory Coast,5.32035870251,-4.38994938294,72913,69661
Admin-1 capital,Guiglo,Ivory Coast,Ivory Coast,6.55046449679,-7.4899668797,39134,35846
Admin-1 capital,Abengourou,Ivory Coast,Ivory Coast,6.73037599581,-3.49000431458,104020,71598
Populated place,St.-Benoit,French Republic,France,-21.033510723,55.7128161202,35310,12648
Populated place,Bafang,Cameroon,Cameroon,5.170393696,10.1799881578,93145,80688
Populated place,Foumban,Cameroon,Cameroon,5.73038535453,10.8999958889,92673,36125
Admin-1 capital,Bafoussam,Cameroon,Cameroon,5.49042584118,10.4099482815,290768,290768
Populated place,Kumba,Cameroon,Cameroon,4.6403743682,9.43998164739,144413,117831
Populated place,Eyumojok,Cameroon,Cameroon,5.75035829561,8.98331701522,5798,5798
Populated place,Limbe,Cameroon,Cameroon,4.03038576143,9.19002274439,212474,72106
Admin-1 capital,Nola,Central African Republic,Central African Republic,3.53369773245,16.0666055895,26809,23793
Populated place,Kribi,Cameroon,Cameroon,2.94042645153,9.91003047551,55224,7722
Admin-1 capital,Sibut,Central African Republic,Central African Republic,5.73377016085,19.0833206774,34267,18342
Admin-1 capital,Bossangoa,Central African Republic,Central African Republic,6.48372438448,17.4499836819,63064,27428
Admin-1 capital,Birao,Central African Republic,Central African Republic,10.2836991566,22.783301553,10178,1104
Populated place,Ouadda,Central African Republic,Central African Republic,8.06709026991,22.4000174547,5434,1415
Admin-1 capital,Bangassou,Central African Republic,Central African Republic,4.73375368135,22.8166328519,32841,24361
Admin-1 capital,Ghanzi,Botswana,Botswana,-21.6996199353,21.6399604886,6306,6306
Populated place,Bossembele,Central African Republic,Central African Republic,5.26700278617,17.6500231513,7287,7287
Populated place,Nkongsamba,Cameroon,Cameroon,4.96040651338,9.94000280624,117063,93075
Populated place,Edea,Cameroon,Cameroon,3.80047731416,10.1199918199,203149,15864
Populated place,Wum,Cameroon,Cameroon,6.40042197563,10.0700207099,68836,16366
Populated place,Kumbo,Cameroon,Cameroon,6.22038128552,10.6800093167,125486,53970
Populated place,Bafia,Cameroon,Cameroon,4.75039349255,11.2300015855,69270,13132
Populated place,Mbalmayo,Cameroon,Cameroon,3.52039105114,11.5000109443,80206,26797
Populated place,Eseka,Cameroon,Cameroon,3.65040895478,10.7666190172,22221,5983
Admin-1 capital,Bertoua,Cameroon,Cameroon,4.58042970674,13.6799812405,218111,88462
Populated place,Abong Mbang,Cameroon,Cameroon,3.98369610485,13.1833190497,14661,735
Populated place,Batouri,Cameroon,Cameroon,4.43369447725,14.3666059964,43821,40721
Populated place,Belabo,Cameroon,Cameroon,4.93368979789,13.3000044339,22553,358
Populated place,Meiganga,Cameroon,Cameroon,6.52049216606,14.2899698473,80100,29629
Admin-1 capital,Ngaoundere,Cameroon,Cameroon,7.32036582329,13.579987344,231357,37288
